TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
3545,43.84051137,-79.1088056,24602,7546,5313,2840,3
3546,43.66455179,-79.44334977,3196,1039,1341,1524,1
3549,43.58146929,-79.57180873,14611,4447,5920,2127,3
3550,43.71654979,-79.54886762,12054,4214,3787,2306,3
3551,43.72638891,-79.54909889,12613,4186,3409,2325,3
3554,43.72709741,-79.34732129,8057,3152,3401,2013,3
3555,43.74464471,-79.31794476,10416,3397,3505,1846,3
3563,43.5966664,-79.77304706,27386,8513,5061,2997,3
3564,43.5900076,-79.76237054,26819,8275,3987,2877,3
3568,43.84206341,-79.01252187,29729,8720,13733,3045,3
3569,43.83532573,-79.00921665,29962,9440,13318,3053,3
3576,43.75071542,-79.31997185,10926,4141,3652,1921,3
3577,43.76060536,-79.32494393,11702,4334,3245,1883,3
3578,43.82681617,-79.00771391,30626,9181,12953,3104,3
3579,43.83132493,-79.02071938,29648,9108,13505,3016,3
3582,43.63857921,-79.41634339,3000,1039,1409,1517,1
3584,43.68280219,-79.72030108,23891,7562,4528,2628,3
3585,43.67426979,-79.7337157,24586,7621,5166,2897,3
3586,43.68982994,-79.74855691,25843,8016,4813,2959,3
3587,43.68113707,-79.7429481,25313,7792,5248,2950,3
3588,43.73080201,-79.47947117,9451,3309,3173,2128,3
3589,43.7218939,-79.49439627,9678,3224,3248,2194,3
3590,43.70066169,-79.76798318,27153,8453,5890,2945,3
3591,43.69599257,-79.75794284,26373,8293,4935,2895,3
3592,43.70974814,-79.75741246,26562,8479,8906,2796,3
3593,43.70421161,-79.74856183,25850,8337,4718,2756,3
3594,43.85596863,-79.76980421,30756,10072,200000,3564,3
3595,43.86310797,-79.7271633,30109,9798,6411,3474,3
3596,43.82180763,-79.08922772,25124,7404,4687,2798,3
3601,43.52487412,-79.60897653,18971,5662,9672,2516,3
3602,43.5057463,-79.64706933,21942,6544,4526,2458,3
3603,43.51296793,-79.64202494,21203,6318,3787,2413,3
3604,43.53221094,-79.62817724,19559,5793,8184,2395,3
3605,43.54365579,-79.6107722,17957,5423,7801,2220,3
