,0
1759,POINT (-79.39653666512184 43.6388432492647)
1764,POINT (-79.37947737465625 43.66076121816642)
1772,POINT (-79.38323385950977 43.77125089926373)
1777,POINT (-79.37321131813444 43.76757431366132)
1778,POINT (-79.41220336545751 43.77054099002883)
1779,POINT (-79.41030005798835 43.76472813255833)
1780,POINT (-79.41339964680706 43.77851570315195)
1781,POINT (-79.41241369174163 43.77557148030661)
1782,POINT (-79.25793087245455 43.77569263538863)
1783,POINT (-79.25327377589565 43.76277464097517)
1791,POINT (-79.75600164967085 43.72292179661466)
1800,POINT (-79.23383890976878 43.96993831639896)
1802,POINT (-79.69545198982351 43.59545420287326)
1812,POINT (-79.72013090086753 43.64247767657307)
1817,POINT (-79.73273083672622 43.63295318329033)
1818,POINT (-79.37615550683566 43.64561709263089)
1819,POINT (-79.70692623782348 43.69069041316552)
1820,POINT (-79.75090928966317 43.72746797995967)
1823,POINT (-79.23719849040174 43.96225247534938)
1837,POINT (-79.8006862764243 43.68583871898564)
1838,POINT (-79.82323555947838 43.73417771225126)
1839,POINT (-79.82469194452337 43.72479662166217)
1884,POINT (-79.72992366452924 43.54264849625976)
1885,POINT (-79.83803314816534 43.69534340203928)
1888,POINT (-79.37459685658349 43.64231990276997)
1939,POINT (-79.42760815083729 44.02043339804872)
1950,POINT (-79.49382561890334 43.74784045141347)
1951,POINT (-79.00814503741023 43.87847842296958)
1956,POINT (-79.52740291999285 43.76474878397516)
1957,POINT (-79.03661418461817 43.8901328920502)
1958,POINT (-79.82097723183428 43.70500042027284)
1960,POINT (-79.4667052661882 44.01207559321132)
1962,POINT (-79.45469104725164 44.01431364133369)
1971,POINT (-79.31276246254133 43.89403728935172)
1973,POINT (-79.50961774740796 43.75469994454092)
1974,POINT (-79.52221161999724 43.74449559171761)
1975,POINT (-79.57557197560726 43.75541049112955)
1976,POINT (-79.56470675783409 43.75018072621905)
1980,POINT (-79.37442161339109 43.79626002408016)
1981,POINT (-79.36350560187839 43.79867249277696)
1982,POINT (-79.34622228624472 43.80366575305167)
1983,POINT (-79.32456377103709 43.78494805971447)
1984,POINT (-79.30990405942065 43.82866620176089)
1987,POINT (-79.30461982436181 43.78423693127349)
1988,POINT (-79.2975488609184 43.79694176037139)
1989,POINT (-79.3038217957283 43.80455602476093)
1990,POINT (-79.25216689363435 43.89078671903974)
1991,POINT (-79.35826718595871 43.8199093992413)
1992,POINT (-79.40902901363833 43.80466438944109)
1993,POINT (-79.41144403413591 43.82021738404041)
2003,POINT (-79.27173146093821 43.83918907797528)
2004,POINT (-79.27197251313613 43.83403608871782)
2005,POINT (-79.31789958144685 43.84641173849746)
2006,POINT (-79.75322360118902 43.77946405673213)
2007,POINT (-79.74989830522945 43.77140858943812)
2009,POINT (-79.28472739085458 43.83360889621856)
2010,POINT (-79.27894167137556 43.83571305348143)
2011,POINT (-79.29418189487028 43.85883887311009)
2019,POINT (-79.29314060981386 43.85000659530225)
2022,POINT (-79.37047284790944 43.8392203836155)
2023,POINT (-79.37847250174156 43.83153565535802)
2034,POINT (-79.3000608535292 43.89768970531675)
2041,POINT (-79.27957157801882 43.90225707578295)
2048,POINT (-79.2540507133713 43.90752623297519)
2049,POINT (-79.25379883913256 43.89827289773676)
2066,POINT (-79.429764931471 43.88724437461176)
2076,POINT (-79.7357066453374 43.45145755438853)
2078,POINT (-79.74291021441982 43.44422663334205)
2079,POINT (-79.77253543926184 43.75203854544822)
2082,POINT (-79.67743399246167 43.79682667187466)
2083,POINT (-79.67052974124022 43.78844978866451)
2087,POINT (-79.66383182968721 43.77927009774729)
2091,POINT (-79.68735955275551 43.78180350452868)
2096,POINT (-79.67486357694727 43.77146503051077)
2097,POINT (-79.6594606256126 43.7695474071684)
2164,POINT (-79.74918548813555 43.45273777627915)
2200,POINT (-79.32878099400951 43.71196733954979)
2201,POINT (-79.73781994506744 43.77935084991478)
