TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
1261,43.65656559,-79.53433584,10869,3808,2562,1980,3
1264,43.66830043,-79.52740077,10820,3799,2799,1994,3
1265,43.7216812,-79.37841477,7671,3489,2440,2028,3
1266,43.73860923,-79.39184577,9052,3325,2730,2391,3
1267,43.74608743,-79.27514173,13007,4315,3218,2180,3
1268,43.66935982,-79.29364618,5981,1930,2194,1855,3
1269,43.67643053,-79.28658263,6787,2375,2619,1982,3
1270,43.67558048,-79.29509687,6242,2180,2026,1931,3
1271,43.67223447,-79.30469842,5544,1957,2798,1727,3
1272,43.67138075,-79.31374331,5024,1719,2487,1644,3
1273,43.66733723,-79.3225441,4293,1491,2223,1551,1
1274,43.60552943,-79.50659323,9507,3080,2318,1654,3
1275,43.67731897,-79.31515313,5479,1880,1844,1723,3
1276,43.68053172,-79.30476985,6098,2332,1487,1854,2
1277,43.68396432,-79.29250267,6940,2657,1478,2024,2
1278,43.65010801,-79.40114449,1812,876,1308,1353,1
1279,43.64899314,-79.40873575,2287,1025,1559,1409,1
1280,43.65357418,-79.41079259,2649,1128,1665,1507,1
1281,43.65220981,-79.42011731,3107,1295,1850,1636,1
1282,43.62809681,-79.50188478,8277,2661,2027,1594,3
1283,43.68376627,-79.37370283,3992,1465,1428,1585,2
1284,43.67713535,-79.37842291,3297,1333,1388,1475,1
1285,43.67255479,-79.38396137,2805,1168,894,1531,2
1286,43.67185164,-79.39206716,2657,1066,1031,1391,2
1287,43.72072399,-79.31244298,9665,3205,3245,1760,3
1290,43.86343359,-79.63071862,28611,9736,200000,3225,3
1291,43.72197771,-79.25846659,11153,3785,1823,2363,2
1293,43.72103915,-79.27945938,10898,3890,3750,2204,3
1294,43.71831148,-79.29179395,10160,3696,3073,2044,3
1295,43.73394933,-79.30364138,11015,3741,3139,1886,3
1297,43.75025593,-79.24627467,13834,4981,2946,2337,3
1299,43.751981,-79.22916323,14758,4977,2600,2489,3
1301,43.73093823,-79.39734926,7994,2981,2059,2236,2
1302,43.65439584,-79.49290273,7988,2878,2488,1643,3
1304,43.68625954,-79.31915068,6294,2118,1814,1916,2
1308,43.67683426,-79.39274497,3233,1294,926,1632,2
1310,43.67030764,-79.40927508,3471,1412,1041,1726,2
1311,43.66875362,-79.41654154,3932,1554,1496,1781,2
1312,43.69650939,-79.52647507,11680,4333,1933,2258,2
1313,43.7417345,-79.41329581,9030,3638,2110,2175,2
1315,43.71601639,-79.42293525,7473,2815,2757,2164,3
1316,43.71256243,-79.43511029,7709,3046,1862,2305,2
1325,43.6419716,-79.38740584,735,593,735,1031,1
1326,43.66254141,-79.50122732,8755,3142,2810,1821,3
1327,43.66305944,-79.48861387,7842,2901,2632,1709,3
1328,43.66888814,-79.49120133,8216,3160,2825,1831,3
1329,43.71211847,-79.31312413,8800,2947,3052,1842,3
1330,43.70614283,-79.32604617,8586,2813,3705,1899,3
1332,43.61747577,-79.49061363,8038,2574,1648,1583,3
1333,43.60905891,-79.49302181,8603,2683,1772,1703,3
1334,43.60827412,-79.49766532,8936,2983,1799,1814,2
1336,43.77317981,-79.18871967,16984,5525,2999,2371,3
1337,43.67430953,-79.50384168,9384,3512,3576,2020,3
1338,43.67739475,-79.48007539,7987,2955,3422,2013,3
1339,43.53501045,-79.86454569,37328,11194,4828,2996,3
1340,43.68442019,-79.49129049,8924,3453,3517,2076,3
1341,43.68547071,-79.47722178,8275,2856,3355,2134,3
1342,43.76548832,-79.26491083,15302,5224,4126,2155,3
1344,43.75548472,-79.29749028,13129,4334,4654,2066,3
1345,43.69590111,-79.42835056,6118,2422,1933,2033,2
1346,43.6944728,-79.44001705,6629,2486,1796,2238,2
1347,43.69766567,-79.45875992,7894,2989,2531,2406,3
1348,43.69498162,-79.4703151,8690,3232,3113,2403,3
1349,43.69236677,-79.48377953,9085,3099,3142,2325,3
1350,43.68901306,-79.49588752,9272,3275,2009,2120,2
1352,43.69385561,-79.36443579,5759,2154,3233,1496,3
1353,43.6972514,-79.33591238,6603,2370,2844,1570,3
1354,43.69798591,-79.32389965,7127,2411,2638,1631,3
1355,43.70113096,-79.30749035,8434,2863,3054,1980,3
1356,43.71081316,-79.30356333,8956,3060,3127,1956,3
1357,43.59790016,-79.50473953,9936,3015,2710,1784,3
1358,43.59388995,-79.51511517,10740,3272,2753,1791,3
1359,43.60154315,-79.51858682,10431,3287,2559,1683,3
1360,43.66980446,-79.541056,11600,4046,2498,2033,3
1361,43.66712989,-79.55313468,12527,4291,2455,1920,3
1362,43.66449963,-79.56522712,13126,4336,3186,1937,3
1365,43.83141584,-79.56798657,23652,8248,4988,2843,3
1367,43.68767666,-79.45898368,7844,2976,2855,2301,3
1368,43.6893674,-79.45178913,7472,2767,2548,2224,3
1369,43.69032096,-79.44435341,6814,2661,2165,2258,2
1370,43.68296774,-79.44067867,6442,2459,2314,2225,3
1371,43.68562765,-79.434704,6041,2426,2147,2137,3
1372,43.68074864,-79.80880295,32020,10379,4131,3017,3
1373,43.619028,-79.49809677,8674,2765,1127,1658,2
1374,43.60658791,-79.53706777,11560,3620,3072,1693,3
1375,43.6893358,-79.5060252,10003,3500,2165,2139,3
1376,43.70534908,-79.51258647,11359,3803,1693,2290,2
1377,43.69301292,-79.29689824,7627,2544,2276,2156,3
1379,43.69162016,-79.32108019,6799,2290,2333,1789,3
1380,43.58432783,-79.60378762,15946,4718,3444,1962,3
1381,43.63972122,-79.4976618,8417,2697,2789,1687,3
1382,43.63678807,-79.48616284,7443,2408,3238,1483,3
1383,43.64425552,-79.50935017,9133,2994,2152,1778,3
1384,43.65173045,-79.51853381,9550,3378,2415,1937,3
1385,43.65120868,-79.50873976,8849,3112,1944,1751,3
1386,43.65569579,-79.50249749,8725,3066,2629,2064,3
1387,43.65649869,-79.5112632,9196,3236,2466,1829,3
1389,43.73663475,-79.29118897,11447,3911,3248,2012,3
1391,43.75185979,-79.18881573,15860,5196,2423,2701,2
1393,44.11629271,-79.5865091,45281,15806,6149,4003,3
1396,43.60177852,-79.55023302,12276,3829,2424,1725,3
1397,43.63126753,-79.52439834,10258,3280,2258,1716,3
1398,43.74356186,-79.47073879,14182,4765,2040,2710,2
1400,43.6379857,-79.51486478,9644,3050,2768,1682,3
1401,43.63043789,-79.56806313,13049,4330,2867,1870,3
1404,43.69232494,-79.51548799,10933,3849,2019,2138,2
1405,43.71917132,-79.5635554,15052,5437,3747,2233,3
1406,43.72975157,-79.56975236,15788,5628,4024,2319,3
1408,43.85254178,-79.56959412,25176,8724,4781,2858,3
1409,43.55179922,-79.70817945,24776,7679,3879,2610,3
1410,43.53923222,-79.72285799,26103,8032,4866,2677,3
1411,43.58953647,-79.79539798,30477,9710,3666,2741,3
1436,43.95765264,-79.27708906,32250,11547,5423,3007,3
1494,43.78305846,-79.3704752,14085,5202,2826,2280,3
1495,43.77653281,-79.35077338,13673,5067,2966,2016,3
1496,43.9056087,-79.01795103,34326,10577,5896,3154,3
1497,43.7571282,-79.49433127,14433,5006,3183,2739,3
1498,43.7541791,-79.50317205,14683,4994,2441,2788,2
1505,43.69949828,-79.83172668,33841,11119,4520,3224,3
1515,43.6672501,-79.42385989,4399,1679,1636,2011,2
1516,43.66607976,-79.42932226,4601,1803,1645,1959,2
1518,43.66284454,-79.45149847,5582,2099,1087,1854,2
1519,43.65888822,-79.45703719,5687,2204,1851,1647,3
1604,43.76928881,-79.76830692,29869,10596,5485,2910,3
1609,43.76657615,-79.75750369,29129,9891,5520,2960,3
1610,43.77538977,-79.70000738,25508,8841,6597,2815,3
1612,43.76458498,-79.68931646,24802,8662,6799,2741,3
1613,43.76084529,-79.77608096,30590,10604,6497,2824,3
1643,43.56320369,-79.74191074,27096,8484,4241,2859,3
1644,43.77119654,-79.40673348,11767,5130,2345,2263,3
