TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
1772,43.7712509,-79.38323386,18266,6849,4067,1818,3
1777,43.76757431,-79.37321132,18821,5584,3837,1913,3
1778,43.77054099,-79.41220337,16997,6146,2712,1838,3
1779,43.76472813,-79.41030006,16547,5020,2733,1761,3
1780,43.7785157,-79.41339965,17743,6032,2951,1960,3
1781,43.77557148,-79.41241369,17501,6120,2771,1879,3
1782,43.77569264,-79.25793087,24800,9229,5654,2111,3
1783,43.76277464,-79.25327378,24532,8932,5020,2193,3
1791,43.7229218,-79.75600165,11389,3428,3865,1732,3
1800,43.96993832,-79.23383891,41593,13576,6896,3100,3
1802,43.5954542,-79.69545199,12510,3472,3900,1975,3
1812,43.64247768,-79.7201309,9639,2689,4065,1660,3
1817,43.63295318,-79.73273084,10602,3043,4335,1690,3
1818,43.64561709,-79.37615551,17676,5016,2077,1933,3
1819,43.69069041,-79.70692624,7772,2390,2761,1755,3
1820,43.72746798,-79.75090929,11055,3335,3752,1796,3
1823,43.96225248,-79.23719849,40936,13308,6820,3176,3
1837,43.68583872,-79.80068628,14623,4374,4551,2190,3
1838,43.73417771,-79.82323556,16638,5081,5905,2073,3
1839,43.72479662,-79.82469194,16537,5140,6203,2170,3
1884,43.5426485,-79.72992366,16297,4515,5401,1933,3
1885,43.6953434,-79.83803315,17481,5449,4731,2464,3
1888,43.6423199,-79.37459686,17738,4872,2140,1939,3
1939,44.0204334,-79.42760815,39050,11233,8193,2824,3
1950,43.74784045,-79.49382562,11612,4045,3736,1764,3
1951,43.87847842,-79.00814504,43204,13676,6972,3076,3
1956,43.76474878,-79.52740292,12038,3981,3206,1613,3
1957,43.89013289,-79.03661418,43004,13714,6854,3098,3
1958,43.70500042,-79.82097723,16314,5020,4992,2298,3
1960,44.01207559,-79.46670527,36536,10806,5985,3060,3
1962,44.01431364,-79.45469105,37296,10728,6990,3031,3
1971,43.89403729,-79.31276246,31927,10720,5241,2584,3
1973,43.75469994,-79.50961775,11481,3851,3757,1685,3
1974,43.74449559,-79.52221162,10100,3459,3524,1627,3
1975,43.75541049,-79.57557198,8546,2783,3089,1633,3
1976,43.75018073,-79.56470676,8525,3161,3316,1757,3
1980,43.79626002,-79.37442161,20801,6703,4468,2102,3
1981,43.79867249,-79.3635056,21642,7127,4757,2118,3
1982,43.80366575,-79.34622229,22755,7413,4958,2003,3
1983,43.78494806,-79.32456377,22278,8078,5393,2126,3
1984,43.8286662,-79.30990406,26367,8521,4835,2287,3
1987,43.78423693,-79.30461982,23253,8393,5222,2155,3
1988,43.79694176,-79.29754886,24261,8426,4491,2221,3
1989,43.80455602,-79.3038218,24907,8146,5569,2345,3
1990,43.89078672,-79.25216689,33845,11039,5939,2627,3
1991,43.8199094,-79.35826719,24299,7877,5418,2090,3
1992,43.80466439,-79.40902901,19847,6483,4289,2181,3
1993,43.82021738,-79.41144403,21187,6927,4740,2128,3
2003,43.83918908,-79.27173146,28820,9298,6607,2405,3
2004,43.83403609,-79.27197251,28613,9330,6356,2386,3
2005,43.84641174,-79.31789958,28508,9196,4467,1985,3
2006,43.77946406,-79.7532236,11723,3516,3869,2115,3
2007,43.77140859,-79.74989831,11415,3434,4782,2167,3
2009,43.8336089,-79.28472739,27844,8951,6212,2406,3
2010,43.83571305,-79.27894167,28226,9138,6352,2346,3
2011,43.85883887,-79.29418189,29488,9363,4357,2252,3
2019,43.8500066,-79.29314061,28685,9238,4894,2271,3
2022,43.83922038,-79.37047285,25095,8438,3970,2035,3
2023,43.83153566,-79.3784725,23570,7868,4250,1937,3
2034,43.89768971,-79.30006085,32685,10920,6433,2630,3
2041,43.90225708,-79.27957158,33831,11210,6219,2812,3
2048,43.90752623,-79.25405071,35149,11736,6441,2787,3
2049,43.8982729,-79.25379884,34376,11783,6452,2704,3
2066,43.88724437,-79.42976493,26471,8077,5650,2512,3
2076,43.45145755,-79.73570665,25479,7445,5711,2381,3
2078,43.44422663,-79.74291021,25915,7631,5849,2408,3
2079,43.75203855,-79.77253544,12981,3794,4194,1948,3
2082,43.79682667,-79.67743399,12082,3509,5762,1728,3
2083,43.78844979,-79.67052974,11273,3290,5606,1688,3
2087,43.7792701,-79.66383183,10247,2990,4737,1600,3
2091,43.7818035,-79.68735955,12237,3412,5804,1816,3
2096,43.77146503,-79.67486358,9659,2646,4646,1620,3
2097,43.76954741,-79.65946063,9204,2725,4326,1419,3
2164,43.45273778,-79.74918549,25128,7709,6264,2346,3
2200,43.71196734,-79.32878099,19099,6719,4557,2221,3
2201,43.77935085,-79.73781995,11191,3256,3860,2102,3
2253,43.8931086,-79.27772287,33030,10687,6497,2704,3
2256,43.71508838,-79.76803469,12251,3671,5059,1776,3
2259,43.8250854,-79.62099271,14289,4027,6033,2033,3
2260,43.81660715,-79.61563264,13596,3775,5647,1897,3
2261,43.98135071,-79.23561012,42578,13856,7938,3188,3
2263,43.78981233,-79.2947122,23959,8524,4709,2253,3
2264,43.78359373,-79.29373108,23631,8635,4129,2141,3
